Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Switzerland,CHE,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,25.39483318,24.81269716,30.42860946,30.24036762,37.5522615,32.89138981,33.0704103,29.69977244,31.25,31.70504624,34.11817721,31.66603168,33.93373915,31.17919794,33.78469302,30.4786852,34.9581749,32.14835392,37.52837097,37.79958104,40.71502869,34.60244732,39.87944506,32.28141386,36.12520499,34.8828988,37.91107384,31.35803479,36.36547783,30.67596692,32.6723128,32.58395178,32.43649033,34.05414586,35.60816929,36.60566172,40.45080011,39.23680585,38.45646974,38.19673342,38.15073276,39.08634496,38.6459985,41.67582298,41.70765075,44.26484539,44.5190211,
Channel Islands,CHI,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,25,23.80952381,29.93630573,27.62645914,19.37172775,18.47190215,18.7691657,24.39794168,28.1376049,24.43500739,27.7199733,20.26338429,15.92899775,16.4064921,16.33780464,14.48169989,17.91882933,18.24197957,17.69911504,24.56536217,24.08763297,23.35547263,23.53849607,22.68281598,23.59364398,22.95785349,24.04768545,22.60157532,28.17536408,27.19236092,28.41282525,29.78616017,34.60833112,41.67808495,51.24070254,51.22608896,38.13789197,36.76183856,33.58885898,32.52595329,35.34546008,34.49594327,35.02372572,35.95669331,40.43157788,44.24044854,44.22822332,
China,CHN,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.79103478,28.44111476,28.64056461,29.17298484,27.79247032,25.41983339,27.1390237,28.19577523,31.25631316,32.49354076,35.31397668,36.37649034,35.22111076,,
Cote d'Ivoire,CIV,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9671326,,,,,16.76183103,,,,,,11.97512989,10.81531172,20.7629611,20.05799903,26.0230179,27.89187446,29.20583027,30.06717656,25.37919166,23.98645204,26.50372351,25.27819411,27.22210103,26.04686877,24.8192827,24.68039047,25.26096976,27.61595797,
Cameroon,CMR,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.66275803,29.37636578,29.03805429,29.70379502,31.53598134,23.39699163,,,25.33195085,26.04668664,,,,,,,,,,,,,34.50875047,34.3842769,33.65802827,35.41603434,30.51094265,25.7542281,26.62566037,
"Congo, Dem. Rep.",COD,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.39954468,30.39118164,32.24961786,32.69144648,33.86599627,37.59787714,35.94540262,38.93758016,36.59012306,37.96188748,38.55089645,38.97030136,42.72740566,42.11987087,44.68059435,42.21193204,
Colombia,COL,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.64109317,31.37872103,32.07731346,,,42.58495637,,,,,31.81391985,36.27354469,31.09117856,25.88435325,37.93955656,33.93412368,42.45932176,41.95510073,44.35167241,43.29483235,45.72844009,
Comoros,COM,"Taxes on income, profits and capital gains (% of total taxes)",GC.TAX.YPKG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
